,Unnamed: 0,timestamp,ticker,current_price,predicted_price,target_time,actual_price,error_pct,error_abs,confidence,signal,timestamp_parsed,target_time_parsed,prediction_id
10,25,2025-09-10 18:38:52+0000,AAPL,227.0599975585937,227.50437345234727,2025-09-10 19:38:52+0000,226.77999877929688,-0.319417354682745,0.7243746730503915,66.66666666666666,BUY,2025-09-10 18:38:52.721000+00:00,2025-09-10 19:38:52.721000+00:00,
11,24,2025-09-10 18:38:38+0000,MSFT,500.9299926757813,503.597449837042,2025-09-10 19:38:38+0000,500.2099914550781,-0.6772072609165576,3.387458381963881,66.66666666666666,BUY,2025-09-10 18:38:38.786000+00:00,2025-09-10 19:38:38.786000+00:00,
12,23,2025-09-10 17:50:00+0000,META,754.77001953125,760.0291578798099,2025-09-10 18:50:00+0000,752.7999877929688,-0.960304224769628,7.229170086841123,100,BUY,2025-09-10 17:50:00+00:00,2025-09-10 18:50:00+00:00,
13,22,2025-09-10 17:50:00+0000,BA,226.875,227.2079477852347,2025-09-10 18:50:00+0000,227.2749938964844,0.0294999947421483,0.0670461112496809,66.66666666666666,HOLD,2025-09-10 17:50:00+00:00,2025-09-10 18:50:00+00:00,
14,21,2025-09-10 17:50:00+0000,CAT,423.8250122070313,425.38738182668095,2025-09-10 18:50:00+0000,421.1900024414063,-0.9965524729800816,4.197379385274701,66.66666666666666,BUY,2025-09-10 17:50:00+00:00,2025-09-10 18:50:00+00:00,
20,17,2025-09-10 17:49:00+0000,NVDA,177.7801055908203,178.72678640994,2025-09-10 18:49:00+0000,176.72500610351562,-1.1327091454459104,2.001780306424365,100,BUY,2025-09-10 17:49:00+00:00,2025-09-10 18:49:00+00:00,
19,15,2025-09-10 17:49:00+0000,GOOGL,241.00840759277344,241.3665628726166,2025-09-10 18:49:00+0000,238.8600006103516,-1.0493855211672565,2.5065622622650494,100,BUY,2025-09-10 17:49:00+00:00,2025-09-10 18:49:00+00:00,
18,16,2025-09-10 17:49:00+0000,TSLA,355.2669982910156,355.9859413527772,2025-09-10 18:49:00+0000,347.45001220703125,-2.456735888862124,8.535929145745968,100,BUY,2025-09-10 17:49:00+00:00,2025-09-10 18:49:00+00:00,
17,18,2025-09-10 17:49:00+0000,JPM,300.6449890136719,301.7435314208365,2025-09-10 18:49:00+0000,300.0672912597656,-0.5586214192268584,1.6762401610708937,66.66666666666666,BUY,2025-09-10 17:49:00+00:00,2025-09-10 18:49:00+00:00,
15,19,2025-09-10 17:49:00+0000,JNJ,175.1699981689453,175.8916852866562,2025-09-10 18:49:00+0000,175.4720001220703,-0.2391750047266448,0.4196851645858999,66.66666666666666,HOLD,2025-09-10 17:49:00+00:00,2025-09-10 18:49:00+00:00,
16,20,2025-09-10 17:49:00+0000,XOM,112.0500030517578,112.2090564321526,2025-09-10 18:49:00+0000,112.34500122070312,0.1210065308410711,0.1359447885505318,66.66666666666666,HOLD,2025-09-10 17:49:00+00:00,2025-09-10 18:49:00+00:00,
21,14,2025-09-10 17:48:00+0000,AMZN,230.8500061035156,231.19306529121627,2025-09-10 18:48:00+0000,229.6419982910156,-0.6754282804293684,1.5510670002006464,100,BUY,2025-09-10 17:48:00+00:00,2025-09-10 18:48:00+00:00,
22,13,2025-09-10 17:48:00+0000,AAPL,226.7400054931641,227.18375513499475,2025-09-10 18:48:00+0000,226.1849975585937,-0.4415666764734359,0.9987575764010046,66.66666666666666,BUY,2025-09-10 17:48:00+00:00,2025-09-10 18:48:00+00:00,
23,12,2025-09-10 17:48:00+0000,MSFT,500.3250122070313,502.9892478413174,2025-09-10 18:48:00+0000,499.3875122070313,-0.7212306167545893,3.601735634286172,66.66666666666666,BUY,2025-09-10 17:48:00+00:00,2025-09-10 18:48:00+00:00,
26,10,2025-09-10 16:42:00+0000,BA,227.0449981689453,227.4078946842453,2025-09-10 17:42:00+0000,227.125,-0.1245546215719503,0.2828946842452922,66.66666666666666,HOLD,2025-09-10 16:42:00+00:00,2025-09-10 17:42:00+00:00,
27,8,2025-09-10 16:42:00+0000,XOM,111.87010192871094,112.02889994202872,2025-09-10 17:42:00+0000,112.28099822998048,0.22452444485343,0.2520982879517532,66.66666666666666,HOLD,2025-09-10 16:42:00+00:00,2025-09-10 17:42:00+00:00,
25,11,2025-09-10 16:42:00+0000,META,757.14501953125,762.4207065678269,2025-09-10 17:42:00+0000,755.8499755859375,-0.8693168213435101,6.570730981889369,100,BUY,2025-09-10 16:42:00+00:00,2025-09-10 17:42:00+00:00,
24,9,2025-09-10 16:42:00+0000,CAT,424.0400085449219,425.60317071748136,2025-09-10 17:42:00+0000,424.5499877929688,-0.2480704168636545,1.053182924512612,66.66666666666666,HOLD,2025-09-10 16:42:00+00:00,2025-09-10 17:42:00+00:00,
28,2,2025-09-10 16:41:00+0000,AMZN,231.759994506836,232.10440600068432,2025-09-10 17:41:00+0000,231.1699981689453,-0.4042080889130422,0.9344078317390084,100,BUY,2025-09-10 16:41:00+00:00,2025-09-10 17:41:00+00:00,
29,7,2025-09-10 16:41:00+0000,JNJ,174.83999633789062,175.5603238730658,2025-09-10 17:41:00+0000,175.61000061035156,0.0282881026781468,0.0496767372857505,66.66666666666666,HOLD,2025-09-10 16:41:00+00:00,2025-09-10 17:41:00+00:00,
30,6,2025-09-10 16:41:00+0000,JPM,300.3699951171875,301.46753270981,2025-09-10 17:41:00+0000,300.4599914550781,-0.3353329173220341,1.007541254731848,66.66666666666666,BUY,2025-09-10 16:41:00+00:00,2025-09-10 17:41:00+00:00,
31,5,2025-09-10 16:41:00+0000,NVDA,177.77000427246094,178.71663130196055,2025-09-10 17:41:00+0000,176.27499389648438,-1.385129763164251,2.441637405476172,100,BUY,2025-09-10 16:41:00+00:00,2025-09-10 17:41:00+00:00,
32,4,2025-09-10 16:41:00+0000,TSLA,354.5799865722656,355.2975393492247,2025-09-10 17:41:00+0000,353.6542053222656,-0.4646725536492838,1.643334026959053,100,BUY,2025-09-10 16:41:00+00:00,2025-09-10 17:41:00+00:00,
33,3,2025-09-10 16:41:00+0000,GOOGL,240.65499877929688,241.0126288690284,2025-09-10 17:41:00+0000,239.42999267578125,-0.6610016462683651,1.58263619324714,100,BUY,2025-09-10 16:41:00+00:00,2025-09-10 17:41:00+00:00,
34,1,2025-09-10 16:40:00+0000,AAPL,227.1600036621093,227.60457527638656,2025-09-10 17:40:00+0000,227.0599975585937,-0.2398386874166483,0.5445777177928051,66.66666666666666,HOLD,2025-09-10 16:40:00+00:00,2025-09-10 17:40:00+00:00,
35,0,2025-09-10 16:40:00+0000,MSFT,499.18499755859375,501.8431626036112,2025-09-10 17:40:00+0000,501.1000061035156,-0.1483050271490183,0.7431565000955516,66.66666666666666,HOLD,2025-09-10 16:40:00+00:00,2025-09-10 17:40:00+00:00,
36,,2025-10-31 16:30:28,AAPL,272.489990234375,272.5751402025303,2025-10-31 17:30:28,,,,100,HOLD,,,1
37,,2025-10-31 16:30:28,MSFT,518.0371704101562,518.2583787751173,2025-10-31 17:30:28,,,,66.66666666666666,HOLD,,,2
38,,2025-10-31 16:30:29,AMZN,245.8820037841797,245.9588390645296,2025-10-31 17:30:29,,,,100,HOLD,,,3
39,,2025-10-31 16:30:29,GOOGL,278.7799987792969,278.8900952052168,2025-10-31 17:30:29,,,,66.66666666666666,HOLD,,,4
40,,2025-10-31 16:30:29,TSLA,453.8699951171875,454.01182423758064,2025-10-31 17:30:29,,,,100,HOLD,,,5
41,,2025-10-31 16:30:30,NVDA,204.1100006103516,204.1737826231778,2025-10-31 17:30:30,,,,100,HOLD,,,6
42,,2025-10-31 16:30:30,JPM,310.45001220703125,310.5470242427046,2025-10-31 17:30:30,,,,100,HOLD,,,7
43,,2025-10-31 16:30:31,JNJ,188.6000061035156,188.6589414225708,2025-10-31 17:30:31,,,,66.66666666666666,HOLD,,,8
